time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
1971-02-26T04:55:52.000Z,-10.453,161.392,97.9,5.7,mb,149,,,,centennial,centennial19710226045552,2013-07-09T19:07:38.000Z,"Solomon Islands",earthquake
1971-02-21T10:35:22.000Z,-23.798,-67.155,179.9,6,mb,258,,,,centennial,centennial19710221103522,2013-07-09T19:07:38.000Z,"Jujuy, Argentina",earthquake
1971-02-19T14:16:54.000Z,-26.077,27.815,33,5.4,,,,,,atlas,atlas19710219141654,2014-03-17T19:34:59.719Z,"South Africa",earthquake
1971-02-18T07:47:30.000Z,-36.786,-73.292,26.6,5.6,mb,112,,,,centennial,centennial19710218074730,2014-03-17T19:34:43.481Z,"offshore Bio-Bio, Chile",earthquake
1971-02-17T05:13:00.000Z,40.17,142.3489,48,6.2,,,,,,atlas,atlas19710217051300,2014-03-17T19:34:30.434Z,"near the east coast of Honshu, Japan",earthquake
1971-02-15T07:51:03.000Z,-25.27,178.455,585.6,6.6,ms,251,,,,centennial,centennial19710215075103,2013-07-09T19:07:38.000Z,"south of the Fiji Islands",earthquake
1971-02-12T19:06:56.000Z,-6.287,146.528,129,5.6,mb,160,,,,centennial,centennial19710212190656,2013-07-09T19:07:37.000Z,"eastern New Guinea region, Papua New Guinea",earthquake
1971-02-09T14:00:41.000Z,34.4,-118.391,5,6.5,ms,243,,,,centennial,centennial19710209140041,2014-03-20T16:49:22.108Z,"Greater Los Angeles area, California",earthquake
1971-02-08T21:04:20.000Z,-63.419,-61.412,14.7,7,ms,198,,,,centennial,centennial19710208210420,2013-07-09T19:07:37.000Z,"South Shetland Islands",earthquake
1971-02-07T02:42:05.000Z,51.148,-177.091,45,5.5,mb,181,,,,centennial,centennial19710207024205,2013-07-09T19:07:37.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-02-07T02:29:27.000Z,51.318,-176.795,24,6.5,uk,273,,,,centennial,centennial19710207022927,2014-03-17T19:33:59.172Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
1971-02-06T10:43:05.000Z,47.087,154.048,39.1,5.6,mb,158,,,,centennial,centennial19710206104305,2013-07-09T19:07:37.000Z,"Kuril Islands",earthquake
1971-02-06T08:17:51.000Z,2.202,126.878,40.9,5.6,ms,139,,,,centennial,centennial19710206081751,2013-07-09T19:07:37.000Z,"Molucca Sea",earthquake
1971-02-06T01:30:33.000Z,-49.473,-116.135,14.1,5.6,ms,28,,,,centennial,centennial19710206013033,2013-07-09T19:07:37.000Z,"southern East Pacific Rise",earthquake
1971-02-05T20:52:33.000Z,-28.209,-70.742,50.8,5.6,mb,125,,,,centennial,centennial19710205205233,2013-07-09T19:07:37.000Z,"Atacama, Chile",earthquake
1971-02-05T09:10:35.000Z,25.246,99.351,14.1,5.7,ms,104,,,,centennial,centennial19710205091035,2014-03-17T19:33:37.995Z,"Yunnan, China",earthquake
1971-02-05T07:33:27.000Z,51.73,-130.951,10.2,5.7,ms,98,,,,centennial,centennial19710205073327,2013-07-09T19:07:37.000Z,"Haida Gwaii Region, Canada",earthquake
1971-02-04T15:33:33.000Z,0.551,98.665,59.9,7.1,ms,314,,,,centennial,centennial19710204153333,2014-03-17T19:33:16.806Z,"Nias region, Indonesia",earthquake
1971-02-03T19:48:13.000Z,17.891,146.964,64.3,5.5,mb,135,,,,centennial,centennial19710203194813,2013-07-09T19:07:37.000Z,"Alamagan region, Northern Mariana Islands",earthquake
1971-02-01T05:19:22.000Z,51.618,-173.006,18.4,5.8,ms,212,,,,centennial,centennial19710201051922,2013-07-09T19:07:37.000Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
